"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"8",0,20,7,"highest","cluscoeff",150,0.0821559950178814,0.0366500408400342
"8",0,20,7,"highest","degree",150,0.0706806282889391,0.0308660040065733
"8",0,20,7,"lowest","centbet",150,0.0862245905821997,0.0382445125889444
"8",0,20,7,"lowest","centclos",150,0.0902860355004248,0.0423417953851485
"8",0,20,7,"lowest","centeigen",150,0.0890055340498654,0.0415124741206255
"8",0,20,7,"lowest","cluscoeff",150,0.0834305969470736,0.0355743140284878
"8",0,20,7,"lowest","degree",150,0.0850536656759778,0.0378682862662411
"8",0,20,7,"random","none",150,0.0814236167429371,0.0356520829063684
"8",5,0,NA,"none","none",150,0.0680485125754526,0.0299077160561433
"8",5,20,7,"highest","centbet",150,0.0506469759328623,0.022645275369325
"8",5,20,7,"highest","centclos",150,0.0540625097449138,0.0266553013577858
"8",5,20,7,"highest","centeigen",150,0.0544525384132649,0.0284225654541318
"8",5,20,7,"highest","cluscoeff",150,0.0558332563077226,0.0259268599985267
"8",5,20,7,"highest","degree",150,0.0494011231727142,0.0224452914237541
"8",5,20,7,"lowest","centbet",150,0.0593845712788195,0.0264720176373922
"8",5,20,7,"lowest","centclos",150,0.058624839674967,0.0283973497410673
"8",5,20,7,"lowest","centeigen",150,0.0631317642624027,0.0304639428990898
"8",5,20,7,"lowest","cluscoeff",150,0.056683949344864,0.0263099305720804
"8",5,20,7,"lowest","degree",150,0.0581879232859381,0.0267330691479288
"8",5,20,7,"random","none",150,0.0588923475513768,0.0282728722721735
"8",20,0,NA,"none","none",150,0.033164402778792,0.0159790725766557
"8",20,20,7,"highest","centbet",150,0.0287641031108507,0.0136586784895514
"8",20,20,7,"highest","centclos",150,0.0290481303087602,0.0147273142872164
"8",20,20,7,"highest","centeigen",150,0.0284768177213926,0.0143063933380168
"8",20,20,7,"highest","cluscoeff",150,0.03115152066183,0.014966832586185
"8",20,20,7,"highest","degree",150,0.0284712840040666,0.0138652683892414
"8",20,20,7,"lowest","centbet",150,0.0311486402959901,0.0157864127292504
"8",20,20,7,"lowest","centclos",150,0.0308881376852133,0.0150237401179666
"8",20,20,7,"lowest","centeigen",150,0.0315941088687841,0.0157935804663285
"8",20,20,7,"lowest","cluscoeff",150,0.0304575089171551,0.014923954403631
"8",20,20,7,"lowest","degree",150,0.0308105930521729,0.0153194155398731
"8",20,20,7,"random","none",150,0.0299112887705259,0.014872810973206
"9",0,0,NA,"none","none",150,0.101647493462773,0.0408415985832125
"9",0,20,7,"highest","centbet",150,0.0700629253801619,0.029643678015412
"9",0,20,7,"highest","centclos",150,0.0765622914635621,0.0375067700291366
"9",0,20,7,"highest","centeigen",150,0.07907775551733,0.0367710782369942
"9",0,20,7,"highest","cluscoeff",150,0.0835974695343149,0.0371197075304276
"9",0,20,7,"highest","degree",150,0.0695139144246762,0.0307844125245122
"9",0,20,7,"lowest","centbet",150,0.0855919727586256,0.036928899316575
"9",0,20,7,"lowest","centclos",150,0.0875857835313174,0.0419642055970704
"9",0,20,7,"lowest","centeigen",150,0.0855031631472402,0.0399639068905948
"9",0,20,7,"lowest","cluscoeff",150,0.0811390400857894,0.0361239329620725
"9",0,20,7,"lowest","degree",150,0.0843018473345415,0.0366004656118513
"9",0,20,7,"random","none",150,0.0812578280977065,0.0383735301597272
"9",5,0,NA,"none","none",150,0.0679764555090826,0.0290555654183026
"9",5,20,7,"highest","centbet",150,0.0522139928676821,0.0236986041360019
"9",5,20,7,"highest","centclos",150,0.0558337248351089,0.0264344404260112
"9",5,20,7,"highest","centeigen",150,0.0538887634494214,0.0262592517823808
"9",5,20,7,"highest","cluscoeff",150,0.0579183617494276,0.0276357398811824
"9",5,20,7,"highest","degree",150,0.0515939923897057,0.0234046068042129
"9",5,20,7,"lowest","centbet",150,0.0574061314572299,0.0260862250811112
"9",5,20,7,"lowest","centclos",150,0.0589483306021425,0.0277350594134429
"9",5,20,7,"lowest","centeigen",150,0.05986236816976,0.0288469321806048
"9",5,20,7,"lowest","cluscoeff",150,0.0549625511173,0.025711481515595
"9",5,20,7,"lowest","degree",150,0.0581428993581603,0.0267203317950761
"9",5,20,7,"random","none",150,0.056422220317336,0.0264896778409799
"9",20,0,NA,"none","none",150,0.0332274826418357,0.0156261996171379
"9",20,20,7,"highest","centbet",150,0.0283680867638915,0.013607683605116
"9",20,20,7,"highest","centclos",150,0.0290408255819645,0.0145370710782403
"9",20,20,7,"highest","centeigen",150,0.0296509297412156,0.014736694151211
"9",20,20,7,"highest","cluscoeff",150,0.0296848323212543,0.014416448610946
"9",20,20,7,"highest","degree",150,0.0285557887426236,0.0132772134119683
"9",20,20,7,"lowest","centbet",150,0.0306342420067231,0.0151291403795936
"9",20,20,7,"lowest","centclos",150,0.0324470771669745,0.0151720607422259
"9",20,20,7,"lowest","centeigen",150,0.0318405344173371,0.0148463916997685
"9",20,20,7,"lowest","cluscoeff",150,0.0304114732681047,0.014656542825896
"9",20,20,7,"lowest","degree",150,0.031491616510098,0.0150231503425977
"9",20,20,7,"random","none",150,0.0306035352839151,0.014864295603787
