"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","rewire","mean_cond","std_cond"
"3",0,20,7,"lowest","centclos",150,0.1,0.0841560798258003,0.0337641613341355
"3",0,20,7,"lowest","centclos",150,0.9,0.0836641982670941,0.0176956492899904
"3",0,20,7,"lowest","centeigen",150,0.1,0.0855006917811226,0.0333805052205683
"3",0,20,7,"lowest","centeigen",150,0.9,0.0856154104720565,0.0173405671704413
"3",0,20,7,"lowest","cluscoeff",150,0.1,0.0829718311609027,0.0339296053442054
"3",0,20,7,"lowest","cluscoeff",150,0.9,0.0811502684835458,0.0162494879009025
"3",0,20,7,"lowest","degree",150,0.1,0.0844623379747892,0.0321678786233589
"3",0,20,7,"lowest","degree",150,0.9,0.0867064510511068,0.0185200172519389
"3",0,20,7,"random","none",150,0.1,0.0821110886786354,0.0310538888328998
"3",0,20,7,"random","none",150,0.9,0.0818461894805745,0.0162855971266683
"3",5,0,NA,"none","none",150,0.1,0.0658253466889875,0.0258705351236901
"3",5,0,NA,"none","none",150,0.9,0.0671112069912763,0.0147129096185303
"3",5,20,7,"highest","centbet",150,0.1,0.0560044403825147,0.0235834144738303
"3",5,20,7,"highest","centbet",150,0.9,0.0546728183048635,0.0130642749519046
"3",5,20,7,"highest","centclos",150,0.1,0.0567417909521872,0.0231915811419421
"3",5,20,7,"highest","centclos",150,0.9,0.0542018619436101,0.0122897399241398
"3",5,20,7,"highest","centeigen",150,0.1,0.0579486447007714,0.0244224854467336
"3",5,20,7,"highest","centeigen",150,0.9,0.0558413724880528,0.0127196520375904
"3",5,20,7,"highest","cluscoeff",150,0.1,0.0574156073199105,0.0223248744198178
"3",5,20,7,"highest","cluscoeff",150,0.9,0.0570871321889756,0.0131286437590651
"3",5,20,7,"highest","degree",150,0.1,0.0553390047149532,0.0222300095411382
"3",5,20,7,"highest","degree",150,0.9,0.0531330861253826,0.0114894583665289
"3",5,20,7,"lowest","centbet",150,0.1,0.0579062267483435,0.0233420246754261
"3",5,20,7,"lowest","centbet",150,0.9,0.0607258803009285,0.0134386010442546
"3",5,20,7,"lowest","centclos",150,0.1,0.0583853272203881,0.023762179454412
"3",5,20,7,"lowest","centclos",150,0.9,0.0589955692249013,0.0132722280258224
"3",5,20,7,"lowest","centeigen",150,0.1,0.059081271365539,0.0246533357871268
"3",5,20,7,"lowest","centeigen",150,0.9,0.0595614655980841,0.012431457267562
"3",5,20,7,"lowest","cluscoeff",150,0.1,0.0575603152510902,0.0244107840203898
"3",5,20,7,"lowest","cluscoeff",150,0.9,0.0568698590037344,0.0119672808141137
"3",5,20,7,"lowest","degree",150,0.1,0.0580433379838972,0.023167662113453
"3",5,20,7,"lowest","degree",150,0.9,0.0589524208731162,0.0136723546978444
"3",5,20,7,"random","none",150,0.1,0.0589789214578184,0.0231561136909669
"3",5,20,7,"random","none",150,0.9,0.0574929017627574,0.0119555842390193
"3",20,0,NA,"none","none",150,0.1,0.0336191402318928,0.0141118150561678
"3",20,0,NA,"none","none",150,0.9,0.0329230469514501,0.00762550496990835
"3",20,20,7,"highest","centbet",150,0.1,0.030233139693432,0.0130373681436491
"3",20,20,7,"highest","centbet",150,0.9,0.0293778396014796,0.00751290471170401
"3",20,20,7,"highest","centclos",150,0.1,0.0297058020996913,0.0129852535547768
"3",20,20,7,"highest","centclos",150,0.9,0.0291303427367922,0.00728696618402491
"3",20,20,7,"highest","centeigen",150,0.1,0.0300540568390589,0.013076908604077
"3",20,20,7,"highest","centeigen",150,0.9,0.0295151129014635,0.00737798623473693
"3",20,20,7,"highest","cluscoeff",150,0.1,0.0303225112640934,0.0133769973944397
"3",20,20,7,"highest","cluscoeff",150,0.9,0.0298422390750339,0.00748949430086516
"3",20,20,7,"highest","degree",150,0.1,0.0302801070496512,0.012995673445584
"3",20,20,7,"highest","degree",150,0.9,0.029996273336037,0.0074394747809001
"3",20,20,7,"lowest","centbet",150,0.1,0.0310117094013232,0.0129225381263722
"3",20,20,7,"lowest","centbet",150,0.9,0.0307037879671605,0.00743185505833466
"3",20,20,7,"lowest","centclos",150,0.1,0.0306487433456843,0.0127928048310459
"3",20,20,7,"lowest","centclos",150,0.9,0.0309500069076409,0.00778024398049084
