"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
594,50,0.082,5.07591836734694,0.06,0.536016988571827,-0.0448215143268769,5,2.44,"big","unknown",0.0176951202723046,1.89175581190386,0.12378438960576,1.89300081153324,0.123357948811785,7335,3840.91825755567,0.424908683967886,0.0609145050650365,4.83549204070611,0.1967895342901,4,0,0.0259634420113122,0.114993986959291
595,50,0.0386666666666667,5.13959183673469,0.06,0.536049645562921,-0.089282862162594,5,2.48,"big","unknown",0.0183839257817656,1.96257712585548,0.0831453666089102,1.96352224224039,0.0829313433769418,7455,3494.3686475382,0.386739171273402,0.0472443346153121,4.95721712710032,0.282203044674859,4,0,0.0261646708848061,0.101559726523086
596,50,0.032,5.16163265306122,0.06,0.65334510583463,-0.0906235275640019,5,2.48,"big","unknown",0.00956675752639811,1.93064392980904,0.063960269268243,1.93178380339708,0.0636532397769994,7455,3892.22144219751,0.404977866419804,0.03593808074646,4.96155954246759,0.192634279497321,4,0,0.0189773574134822,0.109266112674148
597,50,0.0706666666666667,5.21795918367347,0.06,0.504872239938892,-0.0140196274784699,5,2.44,"big","unknown",0.013569966023008,2.02704413238028,0.0559164070005235,2.02788813589218,0.0556370850227424,7335,3694.67349638611,0.356785187738589,0.0332859612248699,5.13075461238114,0.207674625474291,4,0,0.0227264516047249,0.0909397273342962
598,50,0.0333333333333333,5.29795918367347,0.06,0.551303946031013,-0.0238867590681215,5,2.48,"big","unknown",0.0131075421163331,1.9546011038048,0.0652532568805484,1.95551170446008,0.0650752853405705,7455,2921.83895126731,0.397767199326886,0.0420938475488681,5.24032115700263,0.289242254430387,4,0,0.0226408963179241,0.10548588163139
599,50,0.0466666666666667,5.41061224489796,0.06,0.514813217495594,-0.0631578947368421,5,2.48,"big","unknown",0.0128397086523614,1.97238134721038,0.0616553371813709,1.9733116934045,0.0614479959038017,7455,3441.40455426595,0.38461057989909,0.0361205866270753,4.90706951782792,0.127041436860648,4,0,0.0219892416329132,0.101106280376165
600,50,0.09,5.48,0.06,0.565442197302537,-0.0407673860911271,5,2.48,"big","unknown",0.0166140465751178,2.04469481700795,0.0664195132540879,2.04547256297019,0.0661876248719906,7455,3494.3686475382,0.33417781048855,0.0350378647032265,5.19593830822212,0.220959522179716,4,0,0.0247800043654549,0.084120776546487
601,50,0.238467189673072,1.78775510204082,0.24,0.599940985984811,0.00606249916671586,5,11.84,"unknown","small",6.97769181006345e-05,1.80016620417926,0.00543082389926366,1.80040857319637,0.00543337855730205,35535,7481.24184823862,0.475117164442523,0.00223357953549119,4.85473382243298,0.0122428690630122,4,0,0.00156917801642937,0.133940782415998
602,50,0.242464907641378,1.78367346938776,0.25,0.616689852687045,0.0664028144239226,5,11.84,"unknown","small",6.63526968774522e-05,1.93371731164939,0.00543514141050274,1.93391005733431,0.00542997266089037,35535,8471.41652612972,0.372947102586935,0.0025946632680807,4.93444126497764,0.012028660053261,4,0,0.00158898222024465,0.104866704297821
603,50,0.243999178152429,1.78775510204082,0.25,0.586120760457366,0.00802114350345085,5,11.84,"unknown","small",7.61748784421629e-05,1.90318837089453,0.00597174369800618,1.90338065249531,0.00597290017181945,35535,8296.15106232882,0.43263509164799,0.00309967498540389,4.90968331788181,0.0125700655785558,4,0,0.00169985840971957,0.118425514790742
