"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","clus_type","mean_mean","mean_sd","sd_mean","sd_sd"
"58",58,150,0.586814678297032,1.682774049217,0.585983928839337,-0.0140247034668334,"0.1",0.1,"48","big",0.502245484180957,6.95919398629957e-07,0.000426162194727211,3.21345643799071e-08
"59",59,150,0.578876784033323,1.68223713646532,0.589725234576468,-0.0168117036523943,"0.1",0.1,"48","big",0.511387231114993,6.95810124813518e-07,0.00129784984236995,3.11027369356584e-08
"60",60,150,0.586261810309013,1.682774049217,0.562129901229367,-0.00199631718377986,"0.1",0.1,"48","big",0.488506571408225,6.95954038452774e-07,0.00131128304389136,3.28256447357462e-08
"61",61,150,0.583368179639047,1.68501118568233,0.547607157741099,-0.0287810995339937,"0.1",0.1,"48","big",0.492470820824692,6.95751894429455e-07,0.0004336823787443,3.04771257709736e-08
"62",62,150,0.580755077388223,1.68232662192394,0.583090128944116,-0.00611659109497588,"0.1",0.1,"48","big",0.490117553590536,6.96092044380921e-07,0.00150474877063292,3.41268287527923e-08
"63",63,150,0.584705435205751,1.68223713646532,0.559307238261639,-0.00753805675158019,"0.1",0.1,"48","big",0.489805112267556,6.95797611859448e-07,0.00104114525205981,3.09608788024517e-08
"64",64,150,0.582678473072384,1.68492170022371,0.56603850259235,-0.0235345798562994,"0.1",0.1,"48","big",0.489809408908236,6.96004571386087e-07,0.000259281764525827,3.3440259652104e-08
"65",65,150,0.59230121902563,1.68608501118568,0.552994234323365,-0.00686729029262696,"0.1",0.1,"48","big",0.494834548337859,6.95747326793489e-07,0.000159986974510366,3.0303032529049e-08
"66",66,150,0.573850988094949,1.6807158836689,0.587203343177745,-0.0111810857425759,"0.1",0.1,"48","big",0.485497673205237,6.95654942577689e-07,0.000784427446502524,2.92114888633022e-08
"67",67,150,0.575889553665602,1.68286353467562,0.575773814827625,-0.0037519889910293,"0.1",0.1,"48","big",0.500157258847558,6.9587417007283e-07,0.00199197986237579,3.20411346186961e-08
