"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","family","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
3782,150,0.459239625888782,"1.5409395973154363",0.489714814577276,-0.0179223895491629,0.1,7,0.1,68.4,0.508534977059241,4.91134847512605e-07,6.13685626786934e-06,4.33049833721532e-08
3783,150,0.448697701339227,"1.5515883668903803",0.460113871461082,-0.0115168856534064,0.1,7,0.1,66.8133333333333,0.49175439026851,5.0279022098438e-07,7.33765370054764e-06,4.47762726340934e-08
3784,150,0.449346030280227,"1.5522147651006712",0.535297955271586,-0.0152700373750442,0.1,7,0.1,66.72,0.509647160767607,5.03982802068519e-07,6.22423178264792e-06,4.80191651487831e-08
3785,150,0.457085685903778,"1.542281879194631",0.506272493790479,-0.00561742843268204,0.1,7,0.1,68.2,0.508336260472278,4.92536354802442e-07,5.3750033305357e-06,4.36026550572449e-08
3786,150,0.439309632671069,"1.5588366890380314",0.519806961064296,-0.0202306252719206,0.1,7,0.1,65.7333333333333,0.504104347406442,5.10529661223211e-07,5.78219796733924e-06,4.22663377646701e-08
3787,150,0.448106042989334,"1.5520357941834453",0.515053273483155,-0.0153789157992972,0.1,7,0.1,66.7466666666667,0.495530633461118,5.03163133731422e-07,5.50054714537644e-06,4.45631305338903e-08
3788,150,0.444356068334298,"1.5551677852348993",0.479040491882979,-0.00803738365826253,0.1,7,0.1,66.28,0.493442126760139,5.07046759345692e-07,5.29395089848625e-06,4.58940780923869e-08
3789,150,0.450686951760843,"1.5484563758389263",0.485137020809019,-0.0278080862670357,0.1,7,0.1,67.28,0.486359352314357,4.99214288316834e-07,5.81600065878142e-06,4.43994333059312e-08
3790,150,0.449149280778532,"1.5500671140939597",0.500939526731654,-0.0133717645692089,0.1,7,0.1,67.04,0.496437530042818,5.01439360972344e-07,5.97552953479448e-06,4.63329527421544e-08
3791,150,0.450381319762552,"1.5484563758389263",0.53153242537208,-0.000580565053071486,0.1,7,0.1,67.28,0.510783679575522,4.99251474000922e-07,5.93931423515174e-06,4.38655983342875e-08
3792,150,0.440226997489667,"1.5589261744966443",0.504287804597754,-0.0126952357002962,0.1,7,0.1,65.72,0.505517266468926,5.11493645435103e-07,5.71963904920292e-06,4.77446650927148e-08
3793,150,0.452946388692508,"1.5466666666666666",0.514101519341754,-0.00784344188742463,0.1,7,0.1,67.5466666666667,0.506660614779791,4.97896918089807e-07,6.46984020638418e-06,4.76149616131756e-08
3794,150,0.439029060179171,"1.5602684563758389",0.483675008764381,-0.0249014135426453,0.1,7,0.1,65.52,0.490977076768253,5.13133109246427e-07,6.91388431138317e-06,4.87793008935938e-08
3795,150,0.457839420277337,"1.5429082774049216",0.516456582448755,-0.00480505917693106,0.1,7,0.1,68.1066666666667,0.488963692946907,4.94516075590056e-07,6.99117282298742e-06,5.21927644717402e-08
